AdvisoryNumber,Date,Lat,Long,Wind,Pres,Movement,stormtypeName,Name,Received,Forecaster
8,"1906-06-10 06:00:00",24.4,-84.2,50,0,"0 at 5mph","Tropical Storm",Unnamed,"1906-06-10 06:00:00",Unknown
9,"1906-06-10 12:00:00",25,-84.3,50,0,"350 at 6mph","Tropical Storm",Unnamed,"1906-06-10 12:00:00",Unknown
10,"1906-06-10 18:00:00",25.4,-84.4,50,0,"345 at 4mph","Tropical Storm",Unnamed,"1906-06-10 18:00:00",Unknown
11,"1906-06-11 00:00:00",25.8,-84.6,50,0,"335 at 4mph","Tropical Storm",Unnamed,"1906-06-11 00:00:00",Unknown
12,"1906-06-11 06:00:00",26.1,-84.8,50,0,"330 at 3mph","Tropical Storm",Unnamed,"1906-06-11 06:00:00",Unknown
13,"1906-06-11 12:00:00",26.5,-85,50,0,"335 at 4mph","Tropical Storm",Unnamed,"1906-06-11 12:00:00",Unknown
14,"1906-06-11 18:00:00",27,-85.2,50,0,"340 at 5mph","Tropical Storm",Unnamed,"1906-06-11 18:00:00",Unknown
15,"1906-06-12 00:00:00",27.5,-85.4,50,0,"340 at 5mph","Tropical Storm",Unnamed,"1906-06-12 00:00:00",Unknown
16,"1906-06-12 06:00:00",28,-85.5,50,0,"350 at 5mph","Tropical Storm",Unnamed,"1906-06-12 06:00:00",Unknown
17,"1906-06-12 12:00:00",28.7,-85.5,50,0,"0 at 8mph","Tropical Storm",Unnamed,"1906-06-12 12:00:00",Unknown
18,"1906-06-12 18:00:00",29.6,-85.6,50,0,"355 at 10mph","Tropical Storm",Unnamed,"1906-06-12 18:00:00",Unknown
19,"1906-06-13 00:00:00",30.7,-85.6,45,0,"0 at 12mph","Tropical Storm",Unnamed,"1906-06-13 00:00:00",Unknown
20,"1906-06-13 06:00:00",31.8,-85.7,40,0,"355 at 12mph","Tropical Storm",Unnamed,"1906-06-13 06:00:00",Unknown
21,"1906-06-13 12:00:00",33,-85.7,40,0,"0 at 13mph","Tropical Storm",Unnamed,"1906-06-13 12:00:00",Unknown
22,"1906-06-13 18:00:00",34.6,-86.5,35,0,"335 at 19mph","Tropical Depression",Unnamed,"1906-06-13 18:00:00",Unknown
23,"1906-06-14 00:00:00",36.2,-87.7,35,0,"330 at 20mph","Extratropical Storm",Unnamed,"1906-06-14 00:00:00",Unknown
24,"1906-06-14 06:00:00",38,-89.1,35,0,"330 at 24mph","Extratropical Storm",Unnamed,"1906-06-14 06:00:00",Unknown
25,"1906-06-14 12:00:00",40,-89.5,35,0,"350 at 23mph","Extratropical Storm",Unnamed,"1906-06-14 12:00:00",Unknown
26,"1906-06-14 18:00:00",41.8,-89.8,35,0,"355 at 20mph","Extratropical Storm",Unnamed,"1906-06-14 18:00:00",Unknown
1,"1907-06-24 12:00:00",16,-78,40,0,"0 at 0mph","Tropical Storm",Unnamed,"1907-06-24 12:00:00",Unknown
2,"1907-06-24 18:00:00",16.1,-78.8,40,0,"275 at 8mph","Tropical Storm",Unnamed,"1907-06-24 18:00:00",Unknown
3,"1907-06-25 00:00:00",16.4,-79.7,40,0,"290 at 10mph","Tropical Storm",Unnamed,"1907-06-25 00:00:00",Unknown
4,"1907-06-25 06:00:00",16.7,-80.6,40,0,"290 at 10mph","Tropical Storm",Unnamed,"1907-06-25 06:00:00",Unknown
5,"1907-06-25 12:00:00",17,-81.5,40,0,"290 at 10mph","Tropical Storm",Unnamed,"1907-06-25 12:00:00",Unknown
6,"1907-06-25 18:00:00",17.7,-82.4,40,0,"310 at 12mph","Tropical Storm",Unnamed,"1907-06-25 18:00:00",Unknown
7,"1907-06-26 00:00:00",18.6,-83.4,40,0,"315 at 14mph","Tropical Storm",Unnamed,"1907-06-26 00:00:00",Unknown
8,"1907-06-26 06:00:00",19.6,-84.3,40,0,"320 at 14mph","Tropical Storm",Unnamed,"1907-06-26 06:00:00",Unknown
9,"1907-06-26 12:00:00",20.6,-85.3,45,0,"315 at 14mph","Tropical Storm",Unnamed,"1907-06-26 12:00:00",Unknown
10,"1907-06-26 18:00:00",21.8,-86.2,45,0,"325 at 16mph","Tropical Storm",Unnamed,"1907-06-26 18:00:00",Unknown
11,"1907-06-27 00:00:00",22.9,-87.1,50,0,"325 at 14mph","Tropical Storm",Unnamed,"1907-06-27 00:00:00",Unknown
12,"1907-06-27 06:00:00",24,-88,50,0,"325 at 14mph","Tropical Storm",Unnamed,"1907-06-27 06:00:00",Unknown
13,"1907-06-27 12:00:00",25.2,-88.9,50,0,"325 at 16mph","Tropical Storm",Unnamed,"1907-06-27 12:00:00",Unknown
14,"1907-06-27 18:00:00",26.2,-89.4,50,0,"335 at 11mph","Tropical Storm",Unnamed,"1907-06-27 18:00:00",Unknown
15,"1907-06-28 00:00:00",27,-89.6,50,0,"345 at 9mph","Tropical Storm",Unnamed,"1907-06-28 00:00:00",Unknown
16,"1907-06-28 06:00:00",27.6,-89.4,50,0,"15 at 6mph","Tropical Storm",Unnamed,"1907-06-28 06:00:00",Unknown
17,"1907-06-28 12:00:00",28.3,-89,60,0,"25 at 8mph","Tropical Storm",Unnamed,"1907-06-28 12:00:00",Unknown
18,"1907-06-28 18:00:00",29.3,-87.8,60,0,"45 at 16mph","Tropical Storm",Unnamed,"1907-06-28 18:00:00",Unknown
19,"1907-06-29 00:00:00",30.3,-85.8,60,0,"60 at 23mph","Tropical Storm",Unnamed,"1907-06-29 00:00:00",Unknown
20,"1907-06-29 06:00:00",30.8,-83.5,50,0,"75 at 23mph","Tropical Storm",Unnamed,"1907-06-29 06:00:00",Unknown
21,"1907-06-29 12:00:00",31.8,-80.8,65,0,"65 at 28mph","Tropical Storm",Unnamed,"1907-06-29 12:00:00",Unknown
22,"1907-06-29 18:00:00",34,-78,60,0,"45 at 36mph","Extratropical Storm",Unnamed,"1907-06-29 18:00:00",Unknown
